MasterTrialID,Scene,ComparisonType,RefFilename,RefPath,Vid1_Filename,Vid1_Metric,Vid1_Level,Vid1_Path,Vid2_Filename,Vid2_Metric,Vid2_Level,Vid2_Path
1,attic,INTRA-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4
2,attic,INTRA-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_dlss_rr_level2.mp4,dlss_rr,level2,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level2.mp4
3,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_duration_flicker_level0.mp4,duration_flicker,level0,/home/jv495/Datasets/GAIM240/attic_duration_flicker_level0.mp4
4,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_duration_flicker_level1.mp4,duration_flicker,level1,/home/jv495/Datasets/GAIM240/attic_duration_flicker_level1.mp4
5,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_duration_flicker_level2.mp4,duration_flicker,level2,/home/jv495/Datasets/GAIM240/attic_duration_flicker_level2.mp4
6,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_judder_level0.mp4,judder,level0,/home/jv495/Datasets/GAIM240/attic_judder_level0.mp4
7,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_judder_level1.mp4,judder,level1,/home/jv495/Datasets/GAIM240/attic_judder_level1.mp4
8,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_judder_level2.mp4,judder,level2,/home/jv495/Datasets/GAIM240/attic_judder_level2.mp4
9,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_motion_noise_level0.mp4,motion_noise,level0,/home/jv495/Datasets/GAIM240/attic_motion_noise_level0.mp4
10,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_motion_noise_level1.mp4,motion_noise,level1,/home/jv495/Datasets/GAIM240/attic_motion_noise_level1.mp4
11,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_motion_noise_level2.mp4,motion_noise,level2,/home/jv495/Datasets/GAIM240/attic_motion_noise_level2.mp4
12,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_motion_resolution_level0.mp4,motion_resolution,level0,/home/jv495/Datasets/GAIM240/attic_motion_resolution_level0.mp4
13,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_motion_resolution_level1.mp4,motion_resolution,level1,/home/jv495/Datasets/GAIM240/attic_motion_resolution_level1.mp4
14,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_motion_resolution_level2.mp4,motion_resolution,level2,/home/jv495/Datasets/GAIM240/attic_motion_resolution_level2.mp4
15,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_noise_colors_level0.mp4,noise_colors,level0,/home/jv495/Datasets/GAIM240/attic_noise_colors_level0.mp4
16,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_noise_colors_level1.mp4,noise_colors,level1,/home/jv495/Datasets/GAIM240/attic_noise_colors_level1.mp4
17,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_noise_colors_level2.mp4,noise_colors,level2,/home/jv495/Datasets/GAIM240/attic_noise_colors_level2.mp4
18,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_restir_level0.mp4,restir,level0,/home/jv495/Datasets/GAIM240/attic_restir_level0.mp4
19,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_restir_level1.mp4,restir,level1,/home/jv495/Datasets/GAIM240/attic_restir_level1.mp4
20,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_restir_level2.mp4,restir,level2,/home/jv495/Datasets/GAIM240/attic_restir_level2.mp4
21,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_stutter_level0.mp4,stutter,level0,/home/jv495/Datasets/GAIM240/attic_stutter_level0.mp4
22,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_stutter_level1.mp4,stutter,level1,/home/jv495/Datasets/GAIM240/attic_stutter_level1.mp4
23,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_stutter_level2.mp4,stutter,level2,/home/jv495/Datasets/GAIM240/attic_stutter_level2.mp4
24,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_temporal-resolution-multiplexing_level0.mp4,temporal-resolution-multiplexing,level0,/home/jv495/Datasets/GAIM240/attic_temporal-resolution-multiplexing_level0.mp4
25,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_temporal-resolution-multiplexing_level1.mp4,temporal-resolution-multiplexing,level1,/home/jv495/Datasets/GAIM240/attic_temporal-resolution-multiplexing_level1.mp4
26,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level0.mp4,dlss_rr,level0,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level0.mp4,attic_temporal-resolution-multiplexing_level2.mp4,temporal-resolution-multiplexing,level2,/home/jv495/Datasets/GAIM240/attic_temporal-resolution-multiplexing_level2.mp4
27,attic,INTRA-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_dlss_rr_level2.mp4,dlss_rr,level2,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level2.mp4
28,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_duration_flicker_level0.mp4,duration_flicker,level0,/home/jv495/Datasets/GAIM240/attic_duration_flicker_level0.mp4
29,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_duration_flicker_level1.mp4,duration_flicker,level1,/home/jv495/Datasets/GAIM240/attic_duration_flicker_level1.mp4
30,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_duration_flicker_level2.mp4,duration_flicker,level2,/home/jv495/Datasets/GAIM240/attic_duration_flicker_level2.mp4
31,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_judder_level0.mp4,judder,level0,/home/jv495/Datasets/GAIM240/attic_judder_level0.mp4
32,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_judder_level1.mp4,judder,level1,/home/jv495/Datasets/GAIM240/attic_judder_level1.mp4
33,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_judder_level2.mp4,judder,level2,/home/jv495/Datasets/GAIM240/attic_judder_level2.mp4
34,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_motion_noise_level0.mp4,motion_noise,level0,/home/jv495/Datasets/GAIM240/attic_motion_noise_level0.mp4
35,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_motion_noise_level1.mp4,motion_noise,level1,/home/jv495/Datasets/GAIM240/attic_motion_noise_level1.mp4
36,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_motion_noise_level2.mp4,motion_noise,level2,/home/jv495/Datasets/GAIM240/attic_motion_noise_level2.mp4
37,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_motion_resolution_level0.mp4,motion_resolution,level0,/home/jv495/Datasets/GAIM240/attic_motion_resolution_level0.mp4
38,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_motion_resolution_level1.mp4,motion_resolution,level1,/home/jv495/Datasets/GAIM240/attic_motion_resolution_level1.mp4
39,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_motion_resolution_level2.mp4,motion_resolution,level2,/home/jv495/Datasets/GAIM240/attic_motion_resolution_level2.mp4
40,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_noise_colors_level0.mp4,noise_colors,level0,/home/jv495/Datasets/GAIM240/attic_noise_colors_level0.mp4
41,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_noise_colors_level1.mp4,noise_colors,level1,/home/jv495/Datasets/GAIM240/attic_noise_colors_level1.mp4
42,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_noise_colors_level2.mp4,noise_colors,level2,/home/jv495/Datasets/GAIM240/attic_noise_colors_level2.mp4
43,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_restir_level0.mp4,restir,level0,/home/jv495/Datasets/GAIM240/attic_restir_level0.mp4
44,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_restir_level1.mp4,restir,level1,/home/jv495/Datasets/GAIM240/attic_restir_level1.mp4
45,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_restir_level2.mp4,restir,level2,/home/jv495/Datasets/GAIM240/attic_restir_level2.mp4
46,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_stutter_level0.mp4,stutter,level0,/home/jv495/Datasets/GAIM240/attic_stutter_level0.mp4
47,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_stutter_level1.mp4,stutter,level1,/home/jv495/Datasets/GAIM240/attic_stutter_level1.mp4
48,attic,INTER-DISTORTION,attic_reference.mp4,/home/jv495/Datasets/GAIM240/attic_reference.mp4,attic_dlss_rr_level1.mp4,dlss_rr,level1,/home/jv495/Datasets/GAIM240/attic_dlss_rr_level1.mp4,attic_stutter_level2.mp4,stutter,level2,/home/jv495/Datasets/GAIM240/attic_stutter_level2.mp4
