SubjectID,TrialIndex,MasterTrialID,TotalTrials,ComparisonType,Scene,LeftMetric,LeftLevel,LeftVideo,RightMetric,RightLevel,RightVideo,ChosenSide,ChosenMetric,ChosenLevel,ChosenVideo,RejectedMetric,RejectedLevel,RejectedVideo,ResponseTime_sec,PresentationFPS
Jorge,1,509,720,INTER-DISTORTION,pink_room,dlss_rr,level1,pink_room_dlss_rr_level1.mp4,motion_resolution,level1,pink_room_motion_resolution_level1.mp4,RIGHT,motion_resolution,level1,pink_room_motion_resolution_level1.mp4,dlss_rr,level1,pink_room_dlss_rr_level1.mp4,2.8708,239.98
Jorge,2,413,720,INTRA-DISTORTION,marbles,noise_colors,level0,marbles_noise_colors_level0.mp4,noise_colors,level1,marbles_noise_colors_level1.mp4,LEFT,noise_colors,level0,marbles_noise_colors_level0.mp4,noise_colors,level1,marbles_noise_colors_level1.mp4,3.2167,239.99
Jorge,3,556,720,INTER-DISTORTION,pink_room,restir,level2,pink_room_restir_level2.mp4,stutter,level2,pink_room_stutter_level2.mp4,RIGHT,stutter,level2,pink_room_stutter_level2.mp4,restir,level2,pink_room_restir_level2.mp4,8.0583,239.99
Jorge,4,52,720,INTER-DISTORTION,attic,motion_noise,level2,attic_motion_noise_level2.mp4,motion_resolution,level2,attic_motion_resolution_level2.mp4,LEFT,motion_noise,level2,attic_motion_noise_level2.mp4,motion_resolution,level2,attic_motion_resolution_level2.mp4,2.9542,240.0
Jorge,5,428,720,INTER-DISTORTION,marbles,dlss_rr,level2,marbles_dlss_rr_level2.mp4,motion_noise,level2,marbles_motion_noise_level2.mp4,RIGHT,motion_noise,level2,marbles_motion_noise_level2.mp4,dlss_rr,level2,marbles_dlss_rr_level2.mp4,4.8417,239.99
Jorge,6,668,720,INTER-DISTORTION,zeroday,motion_noise,level2,zeroday_motion_noise_level2.mp4,dlss_rr,level2,zeroday_dlss_rr_level2.mp4,LEFT,motion_noise,level2,zeroday_motion_noise_level2.mp4,dlss_rr,level2,zeroday_dlss_rr_level2.mp4,4.8042,240.0
Jorge,7,567,720,INTRA-DISTORTION,subway,motion_noise,level1,subway_motion_noise_level1.mp4,motion_noise,level0,subway_motion_noise_level0.mp4,LEFT,motion_noise,level1,subway_motion_noise_level1.mp4,motion_noise,level0,subway_motion_noise_level0.mp4,5.525,239.98
Jorge,8,460,720,INTER-DISTORTION,marbles,temporal-resolution-multiplexing,level2,marbles_temporal-resolution-multiplexing_level2.mp4,motion_noise,level2,marbles_motion_noise_level2.mp4,RIGHT,motion_noise,level2,marbles_motion_noise_level2.mp4,temporal-resolution-multiplexing,level2,marbles_temporal-resolution-multiplexing_level2.mp4,3.3583,240.01
Jorge,9,127,720,INTER-DISTORTION,bistro_exterior,stutter,level1,bistro_exterior_stutter_level1.mp4,judder,level1,bistro_exterior_judder_level1.mp4,LEFT,stutter,level1,bistro_exterior_stutter_level1.mp4,judder,level1,bistro_exterior_judder_level1.mp4,6.3958,239.99
Jorge,10,682,720,INTER-DISTORTION,zeroday,motion_resolution,level2,zeroday_motion_resolution_level2.mp4,judder,level2,zeroday_judder_level2.mp4,RIGHT,judder,level2,zeroday_judder_level2.mp4,motion_resolution,level2,zeroday_motion_resolution_level2.mp4,1.9583,239.99
Jorge,11,462,720,INTER-DISTORTION,marbles,noise_colors,level2,marbles_noise_colors_level2.mp4,motion_resolution,level2,marbles_motion_resolution_level2.mp4,LEFT,noise_colors,level2,marbles_noise_colors_level2.mp4,motion_resolution,level2,marbles_motion_resolution_level2.mp4,7.775,240.0
Jorge,12,19,720,INTRA-DISTORTION,attic,stutter,level0,attic_stutter_level0.mp4,stutter,level1,attic_stutter_level1.mp4,RIGHT,stutter,level1,attic_stutter_level1.mp4,stutter,level0,attic_stutter_level0.mp4,5.6958,240.0
Jorge,13,489,720,INTRA-DISTORTION,pink_room,motion_noise,level2,pink_room_motion_noise_level2.mp4,motion_noise,level0,pink_room_motion_noise_level0.mp4,RIGHT,motion_noise,level0,pink_room_motion_noise_level0.mp4,motion_noise,level2,pink_room_motion_noise_level2.mp4,4.075,239.99
Jorge,14,523,720,INTER-DISTORTION,pink_room,judder,level1,pink_room_judder_level1.mp4,noise_colors,level1,pink_room_noise_colors_level1.mp4,LEFT,judder,level1,pink_room_judder_level1.mp4,noise_colors,level1,pink_room_noise_colors_level1.mp4,3.2958,240.02
Jorge,15,270,720,INTER-DISTORTION,classroom,dlss_rr,level2,classroom_dlss_rr_level2.mp4,motion_resolution,level2,classroom_motion_resolution_level2.mp4,LEFT,dlss_rr,level2,classroom_dlss_rr_level2.mp4,motion_resolution,level2,classroom_motion_resolution_level2.mp4,4.4458,239.99
Jorge,16,542,720,INTER-DISTORTION,pink_room,noise_colors,level2,pink_room_noise_colors_level2.mp4,motion_resolution,level2,pink_room_motion_resolution_level2.mp4,LEFT,noise_colors,level2,pink_room_noise_colors_level2.mp4,motion_resolution,level2,pink_room_motion_resolution_level2.mp4,5.8125,239.99
Jorge,17,252,720,INTRA-DISTORTION,classroom,motion_resolution,level2,classroom_motion_resolution_level2.mp4,motion_resolution,level0,classroom_motion_resolution_level0.mp4,RIGHT,motion_resolution,level0,classroom_motion_resolution_level0.mp4,motion_resolution,level2,classroom_motion_resolution_level2.mp4,3.6,239.99
Jorge,18,553,720,INTER-DISTORTION,pink_room,temporal-resolution-multiplexing,level1,pink_room_temporal-resolution-multiplexing_level1.mp4,noise_colors,level1,pink_room_noise_colors_level1.mp4,LEFT,temporal-resolution-multiplexing,level1,pink_room_temporal-resolution-multiplexing_level1.mp4,noise_colors,level1,pink_room_noise_colors_level1.mp4,3.5458,239.99
Jorge,19,163,720,INTRA-DISTORTION,bistro_interior,dlss_rr,level0,bistro_interior_dlss_rr_level0.mp4,dlss_rr,level2,bistro_interior_dlss_rr_level2.mp4,LEFT,dlss_rr,level0,bistro_interior_dlss_rr_level0.mp4,dlss_rr,level2,bistro_interior_dlss_rr_level2.mp4,6.1917,239.99
Jorge,20,66,720,INTER-DISTORTION,attic,stutter,level2,attic_stutter_level2.mp4,motion_resolution,level2,attic_motion_resolution_level2.mp4,LEFT,stutter,level2,attic_stutter_level2.mp4,motion_resolution,level2,attic_motion_resolution_level2.mp4,4.8125,240.0
Jorge,21,153,720,INTER-DISTORTION,bistro_exterior,noise_colors,level1,bistro_exterior_noise_colors_level1.mp4,temporal-resolution-multiplexing,level1,bistro_exterior_temporal-resolution-multiplexing_level1.mp4,LEFT,noise_colors,level1,bistro_exterior_noise_colors_level1.mp4,temporal-resolution-multiplexing,level1,bistro_exterior_temporal-resolution-multiplexing_level1.mp4,8.5208,239.99
Jorge,22,687,720,INTER-DISTORTION,zeroday,stutter,level1,zeroday_stutter_level1.mp4,judder,level1,zeroday_judder_level1.mp4,RIGHT,judder,level1,zeroday_judder_level1.mp4,stutter,level1,zeroday_stutter_level1.mp4,7.9333,240.0
Jorge,23,615,720,INTER-DISTORTION,subway,restir,level1,subway_restir_level1.mp4,motion_noise,level1,subway_motion_noise_level1.mp4,RIGHT,motion_noise,level1,subway_motion_noise_level1.mp4,restir,level1,subway_restir_level1.mp4,2.9833,239.98
Jorge,24,588,720,INTER-DISTORTION,subway,dlss_rr,level2,subway_dlss_rr_level2.mp4,motion_noise,level2,subway_motion_noise_level2.mp4,LEFT,dlss_rr,level2,subway_dlss_rr_level2.mp4,motion_noise,level2,subway_motion_noise_level2.mp4,6.6083,239.99
Jorge,25,430,720,INTER-DISTORTION,marbles,motion_resolution,level2,marbles_motion_resolution_level2.mp4,dlss_rr,level2,marbles_dlss_rr_level2.mp4,RIGHT,dlss_rr,level2,marbles_dlss_rr_level2.mp4,motion_resolution,level2,marbles_motion_resolution_level2.mp4,4.5292,239.98
Jorge,26,226,720,INTER-DISTORTION,bistro_interior,stutter,level2,bistro_interior_stutter_level2.mp4,motion_resolution,level2,bistro_interior_motion_resolution_level2.mp4,LEFT,stutter,level2,bistro_interior_stutter_level2.mp4,motion_resolution,level2,bistro_interior_motion_resolution_level2.mp4,4.6625,240.0
Jorge,27,148,720,INTER-DISTORTION,bistro_exterior,motion_resolution,level2,bistro_exterior_motion_resolution_level2.mp4,temporal-resolution-multiplexing,level2,bistro_exterior_temporal-resolution-multiplexing_level2.mp4,RIGHT,temporal-resolution-multiplexing,level2,bistro_exterior_temporal-resolution-multiplexing_level2.mp4,motion_resolution,level2,bistro_exterior_motion_resolution_level2.mp4,7.6494,239.86
Jorge,28,547,720,INTER-DISTORTION,pink_room,temporal-resolution-multiplexing,level1,pink_room_temporal-resolution-multiplexing_level1.mp4,motion_resolution,level1,pink_room_motion_resolution_level1.mp4,LEFT,temporal-resolution-multiplexing,level1,pink_room_temporal-resolution-multiplexing_level1.mp4,motion_resolution,level1,pink_room_motion_resolution_level1.mp4,7.375,240.0
Jorge,29,683,720,INTER-DISTORTION,zeroday,judder,level1,zeroday_judder_level1.mp4,noise_colors,level1,zeroday_noise_colors_level1.mp4,LEFT,judder,level1,zeroday_judder_level1.mp4,noise_colors,level1,zeroday_noise_colors_level1.mp4,7.2417,239.99
